product_id,resource_id,resource_description,priority,multihash,hash_source_type,resource_urls,content_type
PROD-01F4MK45QJS4WZ1VBZW1A1THD7,Card,Low Resolution Card,0,QmZEKqVWGEMkHC1874YSn9XbH2eQTTBp4VeqmA96NXeHYU,ipfs,"{https://api.rektangularstudios.com/static/i1brch9esdw3/resource/card_low.jpg,ipfs://QmZEKqVWGEMkHC1874YSn9XbH2eQTTBp4VeqmA96NXeHYU,sia://PAFMGeI8LnPf4a59iC_5Zpmbjmp-dxG0lNd2MDLpLqHUsA}",image/jpeg
PROD-01F4MK45QJS4WZ1VBZW1A1THD7,Card,High Resolution Card,1,QmXKZjDykyEaPvhXtwoVyNrde14nv1xvcLbuQBSsVQEAwX,ipfs,"{https://api.rektangularstudios.com/static/i1brch9esdw3/resource/card.png,ipfs://QmXKZjDykyEaPvhXtwoVyNrde14nv1xvcLbuQBSsVQEAwX,sia://AAAnhnDBiBcaDSWVWrsgr-Ndn0ZFWRCyMo-SLrGkhuhPJQ}",image/png
PROD-01F4MK45QJS4WZ1VBZW1A1THD7,Artwork,Low Resolution Artwork,0,QmTEJV4w6VWfJzUd5sTfHvPsusd96YdV7P5sp1WR1T4JCe,ipfs,"{https://api.rektangularstudios.com/static/i1brch9esdw3/resource/artwork_low.jpg,ipfs://QmTEJV4w6VWfJzUd5sTfHvPsusd96YdV7P5sp1WR1T4JCe,sia://nABS5UcQ1k3oGfdhPJwWrDMg8FcZGoRwlM4yWxp9g2n1Tg}",image/jpeg
PROD-01F4MK45QJS4WZ1VBZW1A1THD7,Artwork,High Resolution Artwork,1,QmXRRJ2mzHMPYYK6es5fwEpeCJs5CEUpLW9TCUB4zQ2NWe,ipfs,"{https://api.rektangularstudios.com/static/i1brch9esdw3/resource/artwork.png,ipfs://QmXRRJ2mzHMPYYK6es5fwEpeCJs5CEUpLW9TCUB4zQ2NWe,sia://AAACH2zjl5oOn32HPmU0oD2OgW9shMqM5yubC7D3e554ZA}",image/png
PROD-01F4MK45QJS4WZ1VBZW1A1THD7,Video,Video of artwork creation process,0,QmbKiiNrXyiF98JUzYXvpv3B9q1igbSTtmzS9h4xgQSd7e,ipfs,"{https://api.rektangularstudios.com/static/i1brch9esdw3/resource/video.mp4,ipfs://QmbKiiNrXyiF98JUzYXvpv3B9q1igbSTtmzS9h4xgQSd7e,sia://AACelBf3Z8-trecpMo3ykOTHYXOH1YDgL-iZu2ahcB8lXQ}",video/mp4
PROD-01F4MK45QJS4WZ1VBZW1A1THD7,OccultaNovelliaCharacter,Occulta Novellia collectible character information such as stats and moves,0,QmUqyQXXPQWLCiu3tz1wpRy21WX36KarNDUidb7zQmWfSj,ipfs,"{https://api.rektangularstudios.com/static/i1brch9esdw3/resource/character.json,ipfs://QmUqyQXXPQWLCiu3tz1wpRy21WX36KarNDUidb7zQmWfSj,sia://AADRY1wFKVFoHw0PgbKEhpc1i3m0aO9AlOpMDQKN960Kmg}",application/json
PROD-01F4MK4NTCXGVA35CAD7TCHEM8,Card,Low Resolution Card,0,QmaFmqvK5MLE9FptS2C124Y4griT3WK3cf5m6gC958TGzX,ipfs,"{https://api.rektangularstudios.com/static/xysn45hd2nlz/resource/card_low.jpg,ipfs://QmaFmqvK5MLE9FptS2C124Y4griT3WK3cf5m6gC958TGzX,sia://PAHNG-zl4o7u9hEmGx2M8NEiARzjaxcOwZ8eVEvELm8hgQ}",image/jpeg
PROD-01F4MK4NTCXGVA35CAD7TCHEM8,Card,High Resolution Card,1,QmaHMKxBuiTYga6Crpbby1wHVpqj7P6mpu795QFAjyRk3G,ipfs,"{https://api.rektangularstudios.com/static/xysn45hd2nlz/resource/card.png,ipfs://QmaHMKxBuiTYga6Crpbby1wHVpqj7P6mpu795QFAjyRk3G,sia://AADtt_X_4wPUxJXY--YUbceoVFowFjwBIF0mIM-UVMb_Hg}",image/png
PROD-01F4MK4NTCXGVA35CAD7TCHEM8,Artwork,Low Resolution Artwork,0,QmTGgJqyNR7XB1A9J3C4ZtuAUw7vKmxQkZrHQb1QQpKo2P,ipfs,"{https://api.rektangularstudios.com/static/xysn45hd2nlz/resource/artwork_low.jpg,ipfs://QmTGgJqyNR7XB1A9J3C4ZtuAUw7vKmxQkZrHQb1QQpKo2P,sia://nACxIQkjaFuJFrIPRG8D0xvpd8lIiwFCi9GPGxGk0DWI2A}",image/jpeg
PROD-01F4MK4NTCXGVA35CAD7TCHEM8,Artwork,High Resolution Artwork,1,QmSs1bGyS5ZjN6L8H5vbe1QsrUacQa97KYPMxFXY9HxSnj,ipfs,"{https://api.rektangularstudios.com/static/xysn45hd2nlz/resource/artwork.png,ipfs://QmSs1bGyS5ZjN6L8H5vbe1QsrUacQa97KYPMxFXY9HxSnj,sia://AACQpOCSLc2vgb0jm8PMf0OgUvR-rezGayTMKVgHO3nV9Q}",image/png
PROD-01F4MK4NTCXGVA35CAD7TCHEM8,Video,Video of artwork creation process,0,QmNhA9PvqBYU3MncGDbPeuDyrReDPKCVjMSsPXWqJJR7Gv,ipfs,"{https://api.rektangularstudios.com/static/xysn45hd2nlz/resource/video.mp4,ipfs://QmNhA9PvqBYU3MncGDbPeuDyrReDPKCVjMSsPXWqJJR7Gv,sia://AAAdPIiD5ZDq8mSQjI7xj4x0mA8Levu5n8sGCzgqo4TGiA}",video/mp4
PROD-01F4MK4NTCXGVA35CAD7TCHEM8,OccultaNovelliaCharacter,Occulta Novellia collectible character information such as stats and moves,0,QmXnZVzo5su59X9dcoTYCyD4SpiV6uWbxaJbZJwvsSK5dF,ipfs,"{https://api.rektangularstudios.com/static/xysn45hd2nlz/resource/character.json,ipfs://QmXnZVzo5su59X9dcoTYCyD4SpiV6uWbxaJbZJwvsSK5dF,sia://AABzJOJjsiogy16ecitSKgEemphvFJ5wPgFgscgis29mmA}",application/json
PROD-01F4MK4P5SMNGKBF5B7AKN35YD,Card,Low Resolution Card,0,QmTUkcUb2EHSw7Ptd52zeuKwgf8G4iVMczXJdMz8XN3dzd,ipfs,"{https://api.rektangularstudios.com/static/r0tngydjh7x0/resource/card_low.jpg,ipfs://QmTUkcUb2EHSw7Ptd52zeuKwgf8G4iVMczXJdMz8XN3dzd,sia://vAEZa3CubnveZw_R4WzM4K57w5h0qbOTWMKxEWX_2F5BKw}",image/jpeg
PROD-01F4MK4P5SMNGKBF5B7AKN35YD,Card,High Resolution Card,1,QmX6aVcn3fZzp9ZvjRbdyJC8tb3sJnE9mwngVkL2drYZZK,ipfs,"{https://api.rektangularstudios.com/static/r0tngydjh7x0/resource/card.png,ipfs://QmX6aVcn3fZzp9ZvjRbdyJC8tb3sJnE9mwngVkL2drYZZK,sia://AAATnuweNhjbpiuF9yzaRVvv8--x_aPTN9cqVNU_uyre5Q}",image/png
PROD-01F4MK4P5SMNGKBF5B7AKN35YD,Artwork,Low Resolution Artwork,0,QmUnc1x7q1bTHbtxErfiT9XoTBn5E9HVD9G9uSGCJwVLtw,ipfs,"{https://api.rektangularstudios.com/static/r0tngydjh7x0/resource/artwork_low.jpg,ipfs://QmUnc1x7q1bTHbtxErfiT9XoTBn5E9HVD9G9uSGCJwVLtw,sia://jAC9yNPcFQZrQ5zA0Y23Hw2mMFORFprC_I9dBdqEh3iHeQ}",image/jpeg
PROD-01F4MK4P5SMNGKBF5B7AKN35YD,Artwork,High Resolution Artwork,1,QmRj1ZbjGypnRbMABdfsFJtarphPa1Ufmffs7xxcFGFNJC,ipfs,"{https://api.rektangularstudios.com/static/r0tngydjh7x0/resource/artwork.png,ipfs://QmRj1ZbjGypnRbMABdfsFJtarphPa1Ufmffs7xxcFGFNJC,sia://AABuQqiC14Y4IhJD7n6itRLCMA5LftXm9Ig4k39QuCwqpw}",image/png
PROD-01F4MK4P5SMNGKBF5B7AKN35YD,OccultaNovelliaCharacter,Occulta Novellia collectible character information such as stats and moves,0,QmeS2VjEXiwiqtQZnkxJgW2ee7QzzLCkQcJJUDK177WbAf,ipfs,"{https://api.rektangularstudios.com/static/r0tngydjh7x0/resource/character.json,ipfs://QmeS2VjEXiwiqtQZnkxJgW2ee7QzzLCkQcJJUDK177WbAf,sia://AACoi1kVmBJh7nPhYcFYEu8VHpVQLop69c5nEJmg-gmx2A}",application/json
PROD-01F4MK4PF52A72Y7P77TEPA2CW,Card,Low Resolution Card,0,QmeMY3Ww6i2P7pLn3rrK1NBHgMU9erHLsrKVFFbHszSobY,ipfs,"{https://api.rektangularstudios.com/static/76hfuusik5of/resource/card_low.jpg,ipfs://QmeMY3Ww6i2P7pLn3rrK1NBHgMU9erHLsrKVFFbHszSobY,sia://vAHzLwtAfVfp8tIX0NlHKE4BpxxRVtY5qfL52fJ9ABX9VQ}",image/jpeg
PROD-01F4MK4PF52A72Y7P77TEPA2CW,Card,High Resolution Card,1,QmfN7k8HeY6fsd4J6Yy3cYFJGBBerjiTafrvMU1uMZH5mc,ipfs,"{https://api.rektangularstudios.com/static/76hfuusik5of/resource/card.png,ipfs://QmfN7k8HeY6fsd4J6Yy3cYFJGBBerjiTafrvMU1uMZH5mc,sia://AADUq4GmD8mJ8gkQV3x5FlfcsiMQfhDwrgxVnqiGYcSfiQ}",image/png
PROD-01F4MK4PF52A72Y7P77TEPA2CW,Artwork,Low Resolution Artwork,0,QmQWigBSNg9ZWBxRuhpPooNo5fECKLF75buUfmL8mtZHgx,ipfs,"{https://api.rektangularstudios.com/static/76hfuusik5of/resource/artwork_low.jpg,ipfs://QmQWigBSNg9ZWBxRuhpPooNo5fECKLF75buUfmL8mtZHgx,sia://3AE66Lrf3y6_gUbrbk-tpK5a_awdCsIwdLXZ27vMNqGuIQ}",image/jpeg
PROD-01F4MK4PF52A72Y7P77TEPA2CW,Artwork,High Resolution Artwork,1,QmS5rBGz7fkVDmQJEKuCYppmYJCvhrTyHFpQeXQYD1B3qw,ipfs,"{https://api.rektangularstudios.com/static/76hfuusik5of/resource/artwork.png,ipfs://QmS5rBGz7fkVDmQJEKuCYppmYJCvhrTyHFpQeXQYD1B3qw,sia://AAA2qJG_T_1ICq6ecrkSgrJRO8pzcGh6lRxdovq_gvitBA}",image/png
PROD-01F4MK4PF52A72Y7P77TEPA2CW,Video,Video of artwork creation process,0,QmZg8pfGzc95HJEeQaMM89qmxTXz7UXym8xNK7QmWcxp8z,ipfs,"{https://api.rektangularstudios.com/static/76hfuusik5of/resource/video.mp4,ipfs://QmZg8pfGzc95HJEeQaMM89qmxTXz7UXym8xNK7QmWcxp8z,sia://AACuYCVZ3RDB6FCySxjB570ZhfaS0ctKYyVgGKq9XrgMSA}",video/mp4
PROD-01F4MK4PF52A72Y7P77TEPA2CW,OccultaNovelliaCharacter,Occulta Novellia collectible character information such as stats and moves,0,QmafCzQpY7zJGfHxkBjaCpBrmN8r8JX46YpA1ZLmq19EKb,ipfs,"{https://api.rektangularstudios.com/static/76hfuusik5of/resource/character.json,ipfs://QmafCzQpY7zJGfHxkBjaCpBrmN8r8JX46YpA1ZLmq19EKb,sia://AAD8mVEHe4ZLIRMiYr2e0K7KMz4YRB05gwv_o9vdBrZkrg}",application/json
PROD-01F4MK4PRD20D3Z95T84ZYA0SX,Card,Low Resolution Card,0,QmYkwP2f4RRUDyUVR9s8u8iiYiEsb2myNZMvNLqdY4nDHf,ipfs,"{https://api.rektangularstudios.com/static/ffoxfe1dq4yu/resource/card_low.jpg,ipfs://QmYkwP2f4RRUDyUVR9s8u8iiYiEsb2myNZMvNLqdY4nDHf,sia://vABN7pI1yYnqj0xSsbXaHuctE7p7SbOZG6ElOqeH_QEvaQ}",image/jpeg
PROD-01F4MK4PRD20D3Z95T84ZYA0SX,Card,High Resolution Card,1,QmNwjhjXGpphJ7JEVPs1SAfBjjDoW1d6rmrAuidnhay4hC,ipfs,"{https://api.rektangularstudios.com/static/ffoxfe1dq4yu/resource/card.png,ipfs://QmNwjhjXGpphJ7JEVPs1SAfBjjDoW1d6rmrAuidnhay4hC,sia://AACPDup7qeLxE9oMHYq4mFsEOYOs23LoZWyrwXJVdKi6ig}",image/png
PROD-01F4MK4PRD20D3Z95T84ZYA0SX,Artwork,Low Resolution Artwork,0,QmdQGXsWFspdoH4qPDeHTifpeMYpUx47tcp6hULiZY3Bsk,ipfs,"{https://api.rektangularstudios.com/static/ffoxfe1dq4yu/resource/artwork_low.jpg,ipfs://QmdQGXsWFspdoH4qPDeHTifpeMYpUx47tcp6hULiZY3Bsk,sia://rAA4BfD1OWRKrzYkxQlzyXoYTYcCzeG0ss75DoYfEGpM4A}",image/jpeg
PROD-01F4MK4PRD20D3Z95T84ZYA0SX,Artwork,High Resolution Artwork,1,QmQiLybmgJHTXq3Fvp7A4b5ATbCrU9n2pHyfB3kJ9ikd9E,ipfs,"{https://api.rektangularstudios.com/static/ffoxfe1dq4yu/resource/artwork.png,ipfs://QmQiLybmgJHTXq3Fvp7A4b5ATbCrU9n2pHyfB3kJ9ikd9E,sia://AACpv00YMgTfJEm5WiFgoFrKhwvRLKoWkyBvi97xxJAG3g}",image/png
PROD-01F4MK4PRD20D3Z95T84ZYA0SX,Video,Video of artwork creation process,0,QmUGhBENQmW6Ewd72U7pD2QHXATaqPx4ThSV1Sg8GzfzMa,ipfs,"{https://api.rektangularstudios.com/static/ffoxfe1dq4yu/resource/video.mp4,ipfs://QmUGhBENQmW6Ewd72U7pD2QHXATaqPx4ThSV1Sg8GzfzMa,sia://AAA4MbzuuukeeHfTTDFCSpZrUotwQ1oLtzMn694sVybe_A}",video/mp4
PROD-01F4MK4PRD20D3Z95T84ZYA0SX,OccultaNovelliaCharacter,Occulta Novellia collectible character information such as stats and moves,0,QmStihozPveCCKXNWhjLiDb1R5qAae1r2LaFD1A3uz8qui,ipfs,"{https://api.rektangularstudios.com/static/ffoxfe1dq4yu/resource/character.json,ipfs://QmStihozPveCCKXNWhjLiDb1R5qAae1r2LaFD1A3uz8qui,sia://AADiGNBy1TXZ4KOd6G3YJ9DAujYIwXeSZLo5jTq8-bACYw}",application/json
PROD-01F4MK4XRGJV2NR9XNQY9GCPGQ,Card,Low Resolution Card,0,QmdHUwSSDXhGaHwY59qdGcco9JrdveiqXpwBep7S7fLgNg,ipfs,"{https://api.rektangularstudios.com/static/gd4nvsptjpjx/resource/card_low.jpg,ipfs://QmdHUwSSDXhGaHwY59qdGcco9JrdveiqXpwBep7S7fLgNg,sia://vAHSEdti9-rtdOPjYeIWT2oD-WL_JwgBIWEVExL5kOmgnQ}",image/jpeg
PROD-01F4MK4XRGJV2NR9XNQY9GCPGQ,Card,High Resolution Card,1,Qmd9a1mGfG6y8bXkR52pmL4N1jeRGXie4ThwVMQrgaTB2t,ipfs,"{https://api.rektangularstudios.com/static/gd4nvsptjpjx/resource/card.png,ipfs://Qmd9a1mGfG6y8bXkR52pmL4N1jeRGXie4ThwVMQrgaTB2t,sia://AADQM7bQMuD3yPCcX-ycR6TQCifVvor9MVmLj0fkL_OXlA}",image/png
PROD-01F4MK4XRGJV2NR9XNQY9GCPGQ,Artwork,Low Resolution Artwork,0,QmPp1bL8gB58j5N79KtUsH39TYNQLc2uehQPLbKfKggcpZ,ipfs,"{https://api.rektangularstudios.com/static/gd4nvsptjpjx/resource/artwork_low.jpg,ipfs://QmPp1bL8gB58j5N79KtUsH39TYNQLc2uehQPLbKfKggcpZ,sia://3ABKYDBMkdx0WA642d_bWPIRfSIBXhH_aujWbcpIjrFaOg}",image/jpeg
PROD-01F4MK4XRGJV2NR9XNQY9GCPGQ,Artwork,High Resolution Artwork,1,QmTrgc21D9VCKdkU5kxFEYQHsGXxSukXfWvUy7UbtS8avQ,ipfs,"{https://api.rektangularstudios.com/static/gd4nvsptjpjx/resource/artwork.png,ipfs://QmTrgc21D9VCKdkU5kxFEYQHsGXxSukXfWvUy7UbtS8avQ,sia://AAD-g84KtK7rjisvLOrSb88COrIc5yyTfyI04olkqPWeTA}",image/png
PROD-01F4MK4XRGJV2NR9XNQY9GCPGQ,OccultaNovelliaCharacter,Occulta Novellia collectible character information such as stats and moves,0,QmUTgYd9uGW6Kh1Y9o2eVjBJNfgaEa85ydtsprS2ruc16s,ipfs,"{https://api.rektangularstudios.com/static/gd4nvsptjpjx/resource/character.json,ipfs://QmUTgYd9uGW6Kh1Y9o2eVjBJNfgaEa85ydtsprS2ruc16s,sia://AAC42O_yF6onVS6B0udTzZFs3Mm8WTsVv2zvOTnjX1MzAw}",application/json
PROD-01F4MK4Y26J6A66YQ1PXH8NXMC,Card,Low Resolution Card,0,Qmf2gK65FgR3YfGwxqaXZrjLWfV6KnmBjKt5CrMm7TvN8U,ipfs,"{https://api.rektangularstudios.com/static/6sfcs6r68jul/resource/card_low.jpg,ipfs://Qmf2gK65FgR3YfGwxqaXZrjLWfV6KnmBjKt5CrMm7TvN8U,sia://PAHBjBfVVMqzHX59PRE5tdmp_KI9VHlDhverHIw25CsHCQ}",image/jpeg
PROD-01F4MK4Y26J6A66YQ1PXH8NXMC,Card,High Resolution Card,1,QmWpvS7rQJh1pKVmgyPNcCyjcaToUZWgij9p5gkNemXnb3,ipfs,"{https://api.rektangularstudios.com/static/6sfcs6r68jul/resource/card.png,ipfs://QmWpvS7rQJh1pKVmgyPNcCyjcaToUZWgij9p5gkNemXnb3,sia://AAB9b9Hg3HZy1a8udSmHE0AUdErdOQ5OKtjda7XxGn-nrQ}",image/png
